UBIGEO,DEPARTAMENTO,PROVINCIA,Distrito,Zona,Latitud,Longitud,cobertura.cell,Educ.sec.comp,esp.vid.nacer,Ing.fam.p.cap,NBS.2017,No.Pobreza,Tasa.docen_pub,cobertura.cell_mf,Tasa.docen_pub_mf
190207,PASCO,DANIEL ALCIDES CARRION,TAPUC,X,-10.4558,-76.4617,82.75862068965517,73.74176901188257,76.52633032488826,423.2202136783727,64.1,50.496688,158.8352084712111,82.75862068965517,158.8352084712111
190208,PASCO,DANIEL ALCIDES CARRION,VILCABAMBA,X,-10.4789,-76.4492,11.290322580645167,87.03065030256556,74.18180272714011,374.51949396371936,53.5,55.330048999999995,268.71401151631477,11.290322580645167,268.71401151631477
190301,PASCO,OXAPAMPA,OXAPAMPA,X,-10.5728,-75.4039,26.76056338028168,61.26537181312355,69.42667706266779,942.0902951310849,74.6,78.71516,253.4977143648705,26.76056338028168,253.4977143648705
190302,PASCO,OXAPAMPA,CHONTABAMBA,X,-10.6044,-75.4633,25.0,58.38605929971305,72.28759641582717,866.3070575681263,74.7,78.71516,236.24235686492494,25.0,236.24235686492494
190303,PASCO,OXAPAMPA,HUANCABAMBA,ZG,-10.4261,-75.5131,27.472527472527474,33.98975636387003,71.76079196324315,477.38589742560293,58.3,66.587331,200.66385033192518,27.472527472527474,200.66385033192518
190304,PASCO,OXAPAMPA,PALCAZU,X,-10.1878,-75.1458,4.6511627906976685,43.30156227057598,68.20923024529503,448.5256066212943,44.4,62.424668999999994,249.06931395142703,4.6511627906976685,249.06931395142703
190305,PASCO,OXAPAMPA,POZUZO,X,-10.0653,-75.5569,8.510638297872347,33.856983878073656,72.24902158286636,521.9992550642685,35.900000000000006,63.503321,177.22550417600326,8.510638297872347,177.22550417600326
190306,PASCO,OXAPAMPA,PUERTO BERMUDEZ,X,-10.2964,-74.9358,1.481481481481481,37.52966513639991,69.6070292593661,419.1635469755762,24.099999999999994,52.160852000000006,374.1119005328597,1.481481481481481,374.1119005328597
190307,PASCO,OXAPAMPA,VILLA RICA,X,-10.7364,-75.2722,26.08695652173914,56.11550877051247,71.16974224067597,835.2109153691747,59.7,69.989326,191.44089565259537,26.08695652173914,191.44089565259537
190308,PASCO,OXAPAMPA,CONSTITUCION,X,-9.8458,-74.9986,16.45569620253164,44.20861214810451,68.60750297020236,551.8663577520824,29.299999999999997,63.353421999999995,330.44196612969847,16.45569620253164,330.44196612969847
